日本(にほん),日本
東京(とうきょう),东京
江戸(えど),江户
東京大学(とうきょうだいがく),东京大学
東京駅(とうきょうえき),东京车站
秋葉原(あきはばら),秋叶原
渋谷(しぶや),涩谷
新宿(しんじゅく),新宿
池袋(いけぶくろ),池袋
上野(うえの),上野
浅草(あさくさ),浅草
銀座(ぎんざ),银座
六本木(ろっぽんぎ),六本木
お台場(おだいば),台场
品川(しながわ),品川
東京タワー(とうきょうたわー),东京塔
東京ドーム(とうきょうどーむ),东京巨蛋
東京スカイツリー(とうきょうすかいつりー),东京晴空塔
日本橋(にほんばし),日本桥
横浜(よこはま),横滨
埼玉(さいたま),埼玉
箱根(はこね),箱根
富士(ふじ),富士
富士山(ふじさん),富士山

京都(きょうと),京都

名古屋(なごや),名古屋
大阪(おおさか),大阪
広島(ひろしま),广岛
福岡(ふくおか),福冈
長崎(ながさき),长崎
熊本(くまもと),熊本
鹿児島(かごしま),鹿儿岛
奄美(あまみ),奄美

沖縄(おきなわ),冲绳
仙台(せんだい),仙台
青森(あおもり),青森
北海道(ほっかいどう),北海道
函館(はこだて),函馆
札幌(さっぽろ),札幌
中国(ちゅうごく),中国
北京(ぺきん),北京
上海(しゃんはい),上海
広州(こうしゅう),广州
台湾(たいわん),台湾
韓国(かんこく),韩国
アメリカ,美国
フランス,法国
ドイツ,德国

場所(ばしょ),地点;场所
出入り口(でいりぐち),出入口
出口(でぐち),出口
入り口(いりぐち),入口

川(かわ),河川
湖(みずうみ),湖
海(うみ),海
海岸(かいがん),海岸

山(やま),山
島(しま),岛屿
崎(さき),岬

